State,District,GramPanchayat,AuditDate,FinancialYear,SchemeName,WorkType,AuditedBy,TotalExpenditure,MisappropriationAmount,RecoveryAmount,IssuesFound,IssueType,AuditStatus,BeneficiariesCovered,ManDaysGenerated,WagesPaid,MaterialCost,ComplaintsReceived,ActionTaken
Uttar Pradesh,Lucknow,GP_Lucknow_71,14-03-2024,2021-22,MGNREGA,School Building,SAU Team B,685368.54,50405.45,16822.62,3,No Muster Roll,Completed,39,5704,126834.45,470155.3,8,Suspended Official
Andhra Pradesh,Vijayawada,GP_Vijayawada_34,17-04-2024,2021-22,PMAY-G,Water Tank,District Audit Unit,607544.86,104434.59,66789.26,10,,Completed,371,5132,310005.33,590883.88,4,
Kerala,Thrissur,GP_Thrissur_66,03-04-2022,2023-24,MGNREGA,Water Tank,SAU Team B,1547744.27,134853.56,74495.73,2,Material Overbilling,Under Review,302,209,943890.35,497472.81,1,No Action
Rajasthan,Udaipur,GP_Udaipur_99,09-11-2023,2024-25,SBM-G,Water Tank,SAU Team B,425127.53,130973.9,,11,Wage Delay,Closed,405,4406,498791.79,136276.36,13,Suspended Official
Kerala,Ernakulam,GP_Ernakulam_1,27-11-2022,2024-25,PMGSY,Road Construction,District Audit Unit,1497720,86087.15,71813.47,0,Material Overbilling,Closed,326,1203,594164.6,80705.51,5,No Action
Kerala,Ernakulam,GP_Ernakulam_83,02-08-2023,2021-22,PMAY-G,Toilet Construction,District Audit Unit,1763108.56,17760.24,49983.66,4,Material Overbilling,Under Review,39,7526,549046.65,66958.26,19,
Kerala,Thrissur,GP_Thrissur_56,21-12-2023,2022-23,PMGSY,Water Tank,District Audit Unit,548050.32,86501,78836.49,9,Incomplete Work,Closed,143,999,907285.37,,15,Warning Issued
Rajasthan,Jaipur,GP_Jaipur_44,01-10-2023,2022-23,NSAP,Toilet Construction,SAU Team B,1940168.55,56248.82,,9,Wage Delay,Under Review,21,228,977292.74,448610.44,17,
Rajasthan,Jaipur,GP_Jaipur_7,08-07-2024,2021-22,PMGSY,School Building,SAU Team B,523462.92,105814.9,17791.31,8,Wage Delay,Under Review,373,440,866118.83,39518.87,6,Recovery Initiated
Bihar,Gaya,GP_Gaya_89,18-04-2022,2021-22,SBM-G,Pond Desilting,SAU Team B,354007.42,147363.57,23486.85,2,Fund Diversion,ATR Pending,133,2550,630903.35,585756.9,1,No Action
Maharashtra,Mumbai,GP_Mumbai_72,25-09-2024,2023-24,PMGSY,Toilet Construction,SAU Team B,984471.7,,67328.5,3,Wage Delay,Under Review,342,7613,901372.02,197050.09,19,Suspended Official
Karnataka,Mysore,GP_Mysore_20,21-01-2024,2023-24,SBM-G,Water Tank,SAU Team B,1512619.58,12344.03,,6,Material Overbilling,Closed,473,2010,906674.41,406495.49,7,FIR Filed
Rajasthan,Udaipur,GP_Udaipur_7,18-10-2022,2021-22,PMAY-G,Pond Desilting,District Audit Unit,1617844.44,141364.37,4907.8,11,Incomplete Work,Pending Recovery,127,5394,796697.77,782168.41,2,No Action
Rajasthan,Jaipur,GP_Jaipur_84,14-08-2024,2022-23,NSAP,Road Construction,SAU Team B,571225.41,541.94,79501.6,7,Incomplete Work,Completed,251,6948,321864.84,646243.12,11,FIR Filed
Tamil Nadu,Chennai,GP_Chennai_69,22-10-2023,2022-23,SBM-G,Water Tank,District Audit Unit,1377810.65,93201,3702.39,4,,ATR Pending,242,7169,556655.83,700265.5,11,
Kerala,Ernakulam,GP_Ernakulam_66,05-05-2023,2021-22,MGNREGA,Toilet Construction,SAU Team A,89930.31,47716.61,27472.81,7,Ghost Beneficiary,Completed,281,1550,554356.88,49814.26,22,Recovery Initiated
Andhra Pradesh,Vijayawada,GP_Vijayawada_47,25-08-2023,2023-24,PMAY-G,Pond Desilting,SAU Team B,1349616.88,62116.36,,5,Wage Delay,Under Review,291,6627,634178.32,29951.1,3,Warning Issued
Karnataka,Mysore,GP_Mysore_54,26-02-2024,2021-22,MGNREGA,School Building,SAU Team B,1677603.62,108970.73,31122.51,5,,Under Review,286,6511,757600.92,103864.84,17,No Action
Maharashtra,Pune,GP_Pune_54,22-01-2022,2024-25,PMGSY,Road Construction,SAU Team B,947657.6,139741.21,,3,Incomplete Work,Completed,303,6587,162938.45,310860.35,8,Recovery Initiated
Uttar Pradesh,Lucknow,GP_Lucknow_26,02-08-2024,2023-24,PMAY-G,Toilet Construction,SAU Team A,1090529.95,87267.09,19155.21,9,Fund Diversion,Under Review,375,7195,670860.88,462211.06,21,Warning Issued
Kerala,Ernakulam,GP_Ernakulam_51,05-08-2024,2023-24,NSAP,Road Construction,SAU Team B,1353312.19,,57008.49,2,No Muster Roll,Pending Recovery,187,3921,83581.63,431091.73,20,Recovery Initiated
Rajasthan,Udaipur,GP_Udaipur_26,08-07-2024,2021-22,NSAP,Toilet Construction,SAU Team A,430783,50716.2,8164.94,2,,Completed,264,4960,641875.46,68475.79,2,FIR Filed
Karnataka,Mysore,GP_Mysore_28,06-06-2023,2022-23,NSAP,Pond Desilting,District Audit Unit,1942577.4,41949.21,,1,Fund Diversion,Closed,223,1905,843679.77,717153.47,24,FIR Filed
Uttar Pradesh,Kanpur,GP_Kanpur_83,24-12-2022,2022-23,PMGSY,Pond Desilting,SAU Team A,1994192.52,32397.79,75993.99,10,Ghost Beneficiary,Completed,298,6441,860187.95,335969.54,17,No Action
Andhra Pradesh,Vijayawada,GP_Vijayawada_33,28-07-2023,2023-24,NSAP,School Building,SAU Team B,992457.32,84650.88,22630.89,0,Fund Diversion,Closed,449,4440,403247.5,94321.98,14,FIR Filed
Rajasthan,Udaipur,GP_Udaipur_50,25-10-2023,2023-24,MGNREGA,Road Construction,SAU Team A,658632.96,18103.1,77517.45,0,Material Overbilling,Pending Recovery,372,5361,842813.34,388482.62,0,Recovery Initiated
Bihar,Patna,GP_Patna_3,27-01-2023,2021-22,PMAY-G,Toilet Construction,District Audit Unit,1833167.13,107998.38,47876.94,5,Ghost Beneficiary,Under Review,393,5543,897420.64,641324.07,4,
Uttar Pradesh,Lucknow,GP_Lucknow_43,10-05-2023,2024-25,MGNREGA,Road Construction,SAU Team B,1096426.36,19202.66,10950.31,9,No Muster Roll,Completed,184,7236,858091.89,778201.29,22,Suspended Official
Maharashtra,Mumbai,GP_Mumbai_84,13-11-2022,2022-23,MGNREGA,School Building,SAU Team B,939052.63,57253.25,64574.93,5,No Muster Roll,ATR Pending,131,7736,461292.65,531788.62,23,
Kerala,Thrissur,GP_Thrissur_75,11-05-2022,2023-24,NSAP,Toilet Construction,SAU Team A,121716.7,98034.33,52777.39,9,Ghost Beneficiary,Under Review,73,3919,892337.83,87045.53,0,FIR Filed
Rajasthan,Udaipur,GP_Udaipur_41,13-05-2023,2024-25,PMAY-G,Pond Desilting,District Audit Unit,377776.64,74390.38,48402.48,11,Fund Diversion,Closed,115,2509,398143.6,509714.06,21,Suspended Official
Uttar Pradesh,Lucknow,GP_Lucknow_79,17-03-2024,2021-22,NSAP,Water Tank,SAU Team A,1157289.87,86484.59,9763.48,9,Ghost Beneficiary,Closed,497,5806,756032.72,168513.51,4,Recovery Initiated
Tamil Nadu,Coimbatore,GP_Coimbatore_89,20-03-2023,2022-23,PMGSY,Toilet Construction,District Audit Unit,321165.3,94235.92,62587.71,9,Incomplete Work,Completed,238,2672,316931.11,256171.44,21,Warning Issued
Andhra Pradesh,Vizag,GP_Vizag_55,11-08-2022,2021-22,MGNREGA,Pond Desilting,SAU Team A,874379.62,134098.15,30230.85,3,Material Overbilling,ATR Pending,374,2731,359866.18,692469.97,3,Recovery Initiated
Bihar,Patna,GP_Patna_48,18-07-2023,2022-23,MGNREGA,Road Construction,SAU Team A,1608193.17,133780.2,,8,Wage Delay,ATR Pending,197,799,174553.49,781287.19,17,Warning Issued
Andhra Pradesh,Vijayawada,GP_Vijayawada_39,10-08-2023,2022-23,SBM-G,Toilet Construction,SAU Team A,455696.62,102719.31,12440.99,2,,Closed,449,6444,917022.37,384367.47,15,Warning Issued
Karnataka,Mysore,GP_Mysore_31,19-11-2023,2022-23,PMAY-G,Pond Desilting,SAU Team A,1227562.08,,77134.1,5,Material Overbilling,Under Review,125,560,793435.2,781205.59,1,Suspended Official
Tamil Nadu,Coimbatore,GP_Coimbatore_48,31-08-2023,2023-24,NSAP,Pond Desilting,SAU Team A,1421840.88,139146.41,,0,Wage Delay,Under Review,263,6028,593623.93,677133.88,10,Warning Issued
Bihar,Patna,GP_Patna_17,30-11-2023,2021-22,NSAP,School Building,SAU Team A,1412036.91,,5031.86,11,Wage Delay,ATR Pending,497,1922,339846.72,466241.82,10,No Action
Karnataka,Mysore,GP_Mysore_64,17-09-2022,2022-23,PMAY-G,School Building,SAU Team A,1341237.37,129130.52,35873.3,2,Wage Delay,Completed,164,2021,238690.19,55448.7,2,No Action
Rajasthan,Udaipur,GP_Udaipur_9,26-11-2022,2024-25,PMAY-G,School Building,SAU Team A,1989140.45,140756.81,54312.39,7,Fund Diversion,Closed,462,5269,462497.65,765702.04,5,Recovery Initiated
Tamil Nadu,Chennai,GP_Chennai_36,25-01-2023,2022-23,SBM-G,School Building,District Audit Unit,438084.5,1110.52,13566.88,10,Fund Diversion,ATR Pending,256,2685,528456.02,596897.99,0,FIR Filed
Maharashtra,Mumbai,GP_Mumbai_28,23-07-2024,2024-25,NSAP,Road Construction,SAU Team A,1244961.12,107593.6,75558.78,10,Fund Diversion,ATR Pending,366,1384,400288.05,721347.25,0,Warning Issued
Tamil Nadu,Coimbatore,GP_Coimbatore_57,25-05-2024,2024-25,NSAP,Toilet Construction,District Audit Unit,1612675.89,116763.09,46671.19,10,Material Overbilling,Pending Recovery,135,2277,521520.77,748765.9,4,Warning Issued
Karnataka,Bangalore,GP_Bangalore_77,23-01-2023,2022-23,PMAY-G,School Building,SAU Team A,230483.12,145650.78,53719.73,10,,Pending Recovery,76,1319,662318.95,215190.91,15,Warning Issued
Maharashtra,Mumbai,GP_Mumbai_83,22-11-2022,2021-22,PMAY-G,Road Construction,SAU Team A,542262.8,131144.56,31379.85,2,,Closed,494,2441,354025.02,617830.27,6,FIR Filed
Uttar Pradesh,Kanpur,GP_Kanpur_54,17-01-2023,2021-22,PMGSY,Pond Desilting,SAU Team A,1987589.12,149204.87,76633,5,No Muster Roll,Pending Recovery,71,2868,830261.78,268962.77,16,Suspended Official
Kerala,Thrissur,GP_Thrissur_48,16-11-2023,2023-24,SBM-G,School Building,SAU Team B,1902303.02,102728.17,25510.18,10,Incomplete Work,Closed,272,6903,886698.44,611781.31,10,Suspended Official
Kerala,Thrissur,GP_Thrissur_43,12-07-2023,2021-22,NSAP,School Building,SAU Team B,484360.1,21255.58,37632.61,7,Material Overbilling,ATR Pending,389,546,153857.16,113736.82,9,Recovery Initiated
Bihar,Patna,GP_Patna_76,14-06-2023,2022-23,NSAP,Water Tank,SAU Team B,1625751.45,114750.35,32391.78,10,Fund Diversion,Completed,435,6048,112991.39,438750.67,22,Warning Issued
Rajasthan,Jaipur,GP_Jaipur_36,05-03-2022,2023-24,PMGSY,Pond Desilting,SAU Team B,586356.17,94733.02,70267.19,3,Incomplete Work,Closed,57,6480,400207.01,261683.75,0,Suspended Official
Kerala,Thrissur,GP_Thrissur_27,23-02-2022,2024-25,SBM-G,Pond Desilting,District Audit Unit,1438506.34,16730,31547.26,9,Material Overbilling,ATR Pending,145,4084,697268.38,264798.27,0,FIR Filed
Rajasthan,Jaipur,GP_Jaipur_43,16-02-2022,2022-23,PMAY-G,School Building,District Audit Unit,792725.99,44536.88,74210.7,11,Material Overbilling,Closed,445,1427,83096.42,359283.29,17,Recovery Initiated
Andhra Pradesh,Vizag,GP_Vizag_98,13-10-2022,2023-24,MGNREGA,School Building,SAU Team A,1442438.79,48638.64,37247.64,10,Fund Diversion,ATR Pending,186,5513,701399.56,93165.72,0,FIR Filed
Tamil Nadu,Chennai,GP_Chennai_76,03-07-2024,2024-25,SBM-G,School Building,District Audit Unit,725676.73,40894.58,28997.06,4,No Muster Roll,Closed,434,6353,223144.83,230914.28,19,Warning Issued
Andhra Pradesh,Vizag,GP_Vizag_58,05-06-2024,2023-24,PMGSY,Toilet Construction,District Audit Unit,69643.64,137716.7,5254.47,9,Material Overbilling,Completed,35,4945,572121.15,,4,Warning Issued
Kerala,Thrissur,GP_Thrissur_83,02-09-2024,2021-22,PMAY-G,School Building,District Audit Unit,1679600.55,140236.77,79773.85,8,No Muster Roll,Under Review,208,2999,790590.8,214984.96,15,Suspended Official
Karnataka,Mysore,GP_Mysore_4,06-11-2023,2021-22,SBM-G,Toilet Construction,District Audit Unit,1215926.43,123171.31,58953.06,11,Wage Delay,ATR Pending,257,470,783805.19,586163.39,3,
Karnataka,Bangalore,GP_Bangalore_12,31-08-2024,2021-22,SBM-G,Water Tank,SAU Team B,1322986.07,14802.14,13447.8,9,Wage Delay,Under Review,230,2303,185879.46,254185.44,21,Warning Issued
Maharashtra,Mumbai,GP_Mumbai_66,17-08-2024,2023-24,NSAP,School Building,SAU Team A,564167.14,6855.72,29568.44,11,Incomplete Work,ATR Pending,156,4254,593846.04,,18,Suspended Official
Andhra Pradesh,Vizag,GP_Vizag_90,07-08-2024,2021-22,NSAP,Pond Desilting,District Audit Unit,1498672,84228.69,35660.13,8,Wage Delay,ATR Pending,33,1584,651387.41,455578.8,7,Suspended Official
Maharashtra,Pune,GP_Pune_38,31-07-2023,2021-22,NSAP,Toilet Construction,District Audit Unit,796587.17,,46184.51,3,Fund Diversion,ATR Pending,69,6497,915038.62,,20,Suspended Official
Karnataka,Mysore,GP_Mysore_19,21-02-2023,2024-25,MGNREGA,Toilet Construction,District Audit Unit,1161466.5,44075.54,32137.27,9,Material Overbilling,Closed,421,5663,791739.78,395364.36,2,Warning Issued
Tamil Nadu,Coimbatore,GP_Coimbatore_85,26-07-2022,2023-24,PMGSY,School Building,SAU Team B,967053.68,20420.47,15182.31,3,Material Overbilling,Under Review,222,3569,219742.31,537458.76,9,Recovery Initiated
Rajasthan,Udaipur,GP_Udaipur_51,22-08-2022,2022-23,SBM-G,Toilet Construction,SAU Team B,1044368.37,131985.81,7647.5,3,No Muster Roll,Pending Recovery,402,1285,517303.35,163162.36,22,Recovery Initiated
Kerala,Ernakulam,GP_Ernakulam_94,16-04-2022,2021-22,NSAP,Road Construction,SAU Team B,1495958.64,117491.65,3222.5,3,Ghost Beneficiary,Completed,104,2516,263532.28,639059.92,2,No Action
Bihar,Gaya,GP_Gaya_59,29-05-2022,2021-22,NSAP,Water Tank,SAU Team A,62665.28,96432.6,47004.51,1,Ghost Beneficiary,Pending Recovery,265,5630,547899.05,210564.28,10,Warning Issued
Andhra Pradesh,Vijayawada,GP_Vijayawada_65,06-09-2022,2023-24,NSAP,Water Tank,SAU Team B,1094448.82,125826.9,19694.99,6,Material Overbilling,Under Review,461,1515,135697.72,36206.48,16,Recovery Initiated
Uttar Pradesh,Kanpur,GP_Kanpur_82,17-09-2024,2024-25,PMGSY,School Building,District Audit Unit,1264120.75,59036.67,20750.72,5,No Muster Roll,Under Review,45,1338,394922.23,343207.37,18,No Action
Andhra Pradesh,Vijayawada,GP_Vijayawada_72,19-01-2023,2023-24,PMAY-G,Pond Desilting,District Audit Unit,1722096.24,88367.45,77978.96,4,Fund Diversion,Completed,294,1182,140286.13,355297.83,6,FIR Filed
Bihar,Patna,GP_Patna_39,29-10-2022,2024-25,NSAP,Road Construction,SAU Team A,1892761.28,26579.07,27882.54,5,Ghost Beneficiary,Pending Recovery,438,2803,246824.11,795637.29,0,Suspended Official
Maharashtra,Pune,GP_Pune_81,18-09-2024,2022-23,MGNREGA,Pond Desilting,District Audit Unit,1543937.42,97736.84,27336.19,5,Wage Delay,Under Review,277,7287,487324.07,48254.13,8,
Tamil Nadu,Coimbatore,GP_Coimbatore_73,08-05-2023,2021-22,MGNREGA,Water Tank,SAU Team A,647371.92,116600.02,46309.84,10,Wage Delay,Under Review,135,7763,80836.91,489076.93,8,Warning Issued
Andhra Pradesh,Vizag,GP_Vizag_3,23-11-2023,2022-23,PMGSY,Water Tank,SAU Team A,719539.1,50769.56,72965.43,1,No Muster Roll,Under Review,143,5886,353209.08,581091.08,2,No Action
Karnataka,Bangalore,GP_Bangalore_65,03-06-2023,2021-22,PMAY-G,Toilet Construction,District Audit Unit,1360623.2,69993.11,,8,No Muster Roll,Closed,155,772,348752.68,270974.93,8,No Action
Tamil Nadu,Coimbatore,GP_Coimbatore_23,27-06-2024,2023-24,PMAY-G,Toilet Construction,District Audit Unit,625758.23,60112.27,35464.54,4,,Pending Recovery,498,252,845121.47,336763.44,0,FIR Filed
Rajasthan,Udaipur,GP_Udaipur_8,21-02-2022,2024-25,MGNREGA,Water Tank,District Audit Unit,552429.54,8613.52,52537.07,9,Ghost Beneficiary,Under Review,323,3728,703547.07,53096.96,3,FIR Filed
Tamil Nadu,Chennai,GP_Chennai_54,02-01-2023,2021-22,PMAY-G,Pond Desilting,SAU Team A,1066240.37,117642.87,27782.18,11,Ghost Beneficiary,ATR Pending,69,6697,422080,66791.43,7,Suspended Official
Maharashtra,Mumbai,GP_Mumbai_92,14-10-2023,2024-25,SBM-G,Water Tank,SAU Team B,965115.33,91561.78,8003.46,6,,ATR Pending,181,622,504629.17,224472.63,12,
Rajasthan,Jaipur,GP_Jaipur_64,29-04-2022,2024-25,NSAP,Road Construction,District Audit Unit,1867599.61,126404.24,69095.72,11,Ghost Beneficiary,ATR Pending,45,3595,267325.03,584899.67,22,FIR Filed
Uttar Pradesh,Kanpur,GP_Kanpur_80,25-10-2023,2024-25,PMGSY,Road Construction,SAU Team A,815281.18,110080.51,72734.16,0,No Muster Roll,Closed,158,3334,516627.6,275704.43,6,Recovery Initiated
Andhra Pradesh,Vizag,GP_Vizag_97,05-05-2023,2021-22,NSAP,Pond Desilting,SAU Team A,411272.64,67059.23,6300.87,9,Material Overbilling,Closed,98,3487,861700.02,583463.74,3,Suspended Official
Uttar Pradesh,Kanpur,GP_Kanpur_29,19-03-2023,2024-25,PMGSY,Water Tank,District Audit Unit,541677.41,145235.27,32109.4,7,No Muster Roll,Pending Recovery,399,3006,643041.21,608429.19,4,Recovery Initiated
Maharashtra,Mumbai,GP_Mumbai_92,14-10-2023,2024-25,SBM-G,Water Tank,SAU Team B,965115.33,91561.78,8003.46,6,,ATR Pending,181,622,504629.17,224472.63,12,
Uttar Pradesh,Lucknow,GP_Lucknow_70,05-02-2023,2023-24,SBM-G,Pond Desilting,SAU Team A,1520751.08,132583.84,3924.71,10,Incomplete Work,Closed,467,889,178012.07,349583.06,24,No Action
Karnataka,Bangalore,GP_Bangalore_47,15-03-2023,2022-23,NSAP,Road Construction,District Audit Unit,308044.58,143519.52,71343.34,9,Wage Delay,Completed,101,162,240498.7,337600.27,5,Suspended Official
Bihar,Patna,GP_Patna_93,01-07-2024,2022-23,NSAP,Road Construction,District Audit Unit,195075.37,116175.62,27897.38,3,Wage Delay,Under Review,269,1290,753903.65,663022.66,2,Recovery Initiated
Tamil Nadu,Coimbatore,GP_Coimbatore_84,10-12-2023,2022-23,PMGSY,Water Tank,SAU Team B,999273.8,48701.84,25339.89,9,Fund Diversion,ATR Pending,312,3389,238121.65,109273.41,5,FIR Filed
Uttar Pradesh,Kanpur,GP_Kanpur_7,01-12-2023,2022-23,SBM-G,School Building,SAU Team B,402596.03,126741.01,2328.12,9,Material Overbilling,Closed,391,1415,112761.29,50697.03,18,Suspended Official
Uttar Pradesh,Kanpur,GP_Kanpur_43,29-12-2022,2023-24,NSAP,Pond Desilting,District Audit Unit,1660228.99,124423.6,73519.69,2,Ghost Beneficiary,Pending Recovery,287,5770,496106.9,213379.18,13,Warning Issued
Kerala,Thrissur,GP_Thrissur_55,13-03-2023,2024-25,PMAY-G,Road Construction,SAU Team B,1367038.65,61768.16,10605.55,8,Incomplete Work,Under Review,139,2451,175206.42,,16,Warning Issued
Bihar,Gaya,GP_Gaya_13,16-09-2023,2024-25,MGNREGA,School Building,SAU Team B,179500.32,92510.71,22254.37,10,,Under Review,148,6043,142064.28,524592.71,19,No Action
Rajasthan,Udaipur,GP_Udaipur_13,08-10-2022,2021-22,NSAP,Pond Desilting,SAU Team A,1549453.41,,45592.3,10,Material Overbilling,Under Review,129,1529,83256.85,249954.46,17,Recovery Initiated
Tamil Nadu,Chennai,GP_Chennai_52,20-08-2024,2022-23,PMAY-G,Toilet Construction,District Audit Unit,706745.59,36914.87,2158.8,9,Incomplete Work,ATR Pending,368,3679,220789.48,531410.27,18,Suspended Official
Andhra Pradesh,Vizag,GP_Vizag_66,14-09-2022,2023-24,NSAP,School Building,SAU Team A,1823558.77,141445.53,68934.24,5,Wage Delay,Pending Recovery,433,2787,398719.41,159706.56,7,No Action
Andhra Pradesh,Vizag,GP_Vizag_37,30-12-2022,2023-24,NSAP,Road Construction,SAU Team A,962571.46,78803.82,77468.78,11,Ghost Beneficiary,Under Review,133,6425,666105.64,583478.73,17,No Action
Rajasthan,Jaipur,GP_Jaipur_90,01-12-2023,2021-22,NSAP,Road Construction,SAU Team B,744945.74,15087.85,10180.12,3,Ghost Beneficiary,Under Review,251,4714,329758.12,547391.25,16,Suspended Official
Maharashtra,Pune,GP_Pune_28,26-02-2023,2021-22,PMGSY,Pond Desilting,District Audit Unit,1813128.67,30943.77,,2,Wage Delay,ATR Pending,478,7128,407144.51,,12,Warning Issued
Bihar,Patna,GP_Patna_91,21-04-2023,2022-23,SBM-G,School Building,SAU Team A,1416373.92,53900.28,45572.86,7,Incomplete Work,Closed,414,2856,787920.8,723687.47,15,Suspended Official
Bihar,Patna,GP_Patna_32,27-03-2023,2022-23,PMAY-G,School Building,SAU Team B,1654362.53,39784.12,64300.86,5,Wage Delay,ATR Pending,198,7141,928116.42,138379.07,20,FIR Filed
Kerala,Ernakulam,GP_Ernakulam_28,31-01-2022,2023-24,NSAP,School Building,District Audit Unit,1530151.42,29918.8,49171.39,6,No Muster Roll,Pending Recovery,202,1967,411994.7,85222.28,24,Warning Issued
Andhra Pradesh,Vizag,GP_Vizag_48,06-05-2024,2023-24,PMAY-G,Water Tank,SAU Team B,1100606.54,,25610,5,Wage Delay,Pending Recovery,321,4707,373632.93,765620.07,1,Warning Issued
Karnataka,Mysore,GP_Mysore_96,28-04-2024,2022-23,PMGSY,Toilet Construction,SAU Team A,140667.28,72585.52,74306.74,5,Ghost Beneficiary,ATR Pending,137,3073,351743.41,505085.02,10,Warning Issued
Tamil Nadu,Coimbatore,GP_Coimbatore_68,20-09-2023,2023-24,PMAY-G,Toilet Construction,SAU Team A,601747.76,25345.82,32856.75,5,Material Overbilling,Closed,328,6765,250741.14,62492.21,10,Recovery Initiated
Tamil Nadu,Coimbatore,GP_Coimbatore_23,17-04-2023,2023-24,SBM-G,Road Construction,SAU Team B,1509701.2,98972,70429.57,1,Ghost Beneficiary,ATR Pending,103,5526,392257.54,239652.85,7,
Andhra Pradesh,Vizag,GP_Vizag_29,28-05-2023,2022-23,PMAY-G,Toilet Construction,District Audit Unit,1874949.02,21878.87,12251.85,10,No Muster Roll,Completed,425,6726,386947.43,439965.42,15,Warning Issued
Uttar Pradesh,Lucknow,GP_Lucknow_59,27-05-2024,2021-22,PMGSY,Road Construction,SAU Team B,109680.72,100647.35,11265.54,3,Wage Delay,Pending Recovery,92,3708,662887.95,761603.6,18,Recovery Initiated
Andhra Pradesh,Vijayawada,GP_Vijayawada_29,29-03-2024,2023-24,MGNREGA,School Building,SAU Team A,549494.23,59490.92,4933.3,6,No Muster Roll,ATR Pending,165,3393,804677.63,327037.13,4,Recovery Initiated
Kerala,Thrissur,GP_Thrissur_11,15-12-2022,2022-23,PMAY-G,Toilet Construction,SAU Team A,399282.6,52304.97,50074.81,4,Fund Diversion,Under Review,67,7167,481646.13,483085.48,15,Recovery Initiated
Uttar Pradesh,Kanpur,GP_Kanpur_55,16-11-2023,2023-24,PMAY-G,Water Tank,SAU Team A,352789.38,130608.95,9248.95,4,Wage Delay,Under Review,477,4504,383299.29,795316.99,14,Suspended Official
Karnataka,Mysore,GP_Mysore_53,03-04-2022,2022-23,PMGSY,Pond Desilting,SAU Team A,977460.2,92213.61,62220.66,7,Wage Delay,Pending Recovery,462,4690,287797.21,651515.74,8,No Action
Andhra Pradesh,Vijayawada,GP_Vijayawada_26,21-08-2024,2024-25,PMAY-G,School Building,SAU Team A,54258.98,,32792.88,5,Ghost Beneficiary,Under Review,385,3988,195844.12,748517.73,11,
Karnataka,Mysore,GP_Mysore_33,07-07-2024,2024-25,NSAP,Pond Desilting,SAU Team B,148514.44,121752.58,29676.37,7,Wage Delay,Under Review,393,7452,41395.24,467824.3,21,
Rajasthan,Jaipur,GP_Jaipur_45,03-12-2023,2023-24,NSAP,Toilet Construction,SAU Team A,432760.04,59994.01,73887.49,11,Ghost Beneficiary,Pending Recovery,264,5500,386525.1,95037.51,5,FIR Filed
Rajasthan,Udaipur,GP_Udaipur_4,25-08-2022,2023-24,PMGSY,Water Tank,District Audit Unit,359577.93,,58313.1,10,Incomplete Work,Completed,340,6985,162507.83,357529.25,18,Suspended Official
Karnataka,Mysore,GP_Mysore_41,20-08-2024,2024-25,MGNREGA,Road Construction,SAU Team B,669214.03,17.8,30776.93,3,Wage Delay,Closed,428,6555,151401.48,453116.95,19,Suspended Official
Kerala,Ernakulam,GP_Ernakulam_53,03-04-2023,2021-22,PMAY-G,Road Construction,SAU Team B,1059798.36,148476.21,63714.85,3,Ghost Beneficiary,Closed,422,5132,248540.82,,22,Suspended Official
Tamil Nadu,Chennai,GP_Chennai_28,29-02-2024,2023-24,PMAY-G,Toilet Construction,SAU Team B,694242.82,74607.17,,7,Material Overbilling,Closed,292,5280,73668.5,313702.15,9,No Action
Bihar,Patna,GP_Patna_65,26-12-2023,2024-25,PMAY-G,Toilet Construction,District Audit Unit,687145.07,64622.61,64422.3,4,Wage Delay,ATR Pending,305,5599,628547.1,350619.16,7,Suspended Official
Bihar,Patna,GP_Patna_35,09-07-2024,2023-24,SBM-G,Toilet Construction,SAU Team B,792356.29,127925.19,38552.66,1,Material Overbilling,Under Review,150,1069,95772.42,59816.24,10,No Action
Uttar Pradesh,Lucknow,GP_Lucknow_18,26-07-2022,2021-22,NSAP,Road Construction,SAU Team B,1167337.61,,38024.29,3,Fund Diversion,Closed,303,4965,289715.52,480460.33,0,FIR Filed
Bihar,Patna,GP_Patna_24,26-05-2024,2023-24,SBM-G,Road Construction,SAU Team A,1866250.14,52045.06,60047.79,2,No Muster Roll,Under Review,429,2381,205388.43,,6,
Tamil Nadu,Coimbatore,GP_Coimbatore_12,29-03-2023,2024-25,NSAP,Toilet Construction,SAU Team B,1572015.12,103917.23,3005.83,0,,Pending Recovery,45,4219,213122.26,682131.51,17,Recovery Initiated
Tamil Nadu,Chennai,GP_Chennai_40,09-08-2024,2023-24,NSAP,Road Construction,District Audit Unit,1198810.14,26371.48,47530.85,6,Ghost Beneficiary,Under Review,124,6882,773435.42,57133.16,4,Warning Issued
Andhra Pradesh,Vizag,GP_Vizag_3,04-01-2023,2024-25,PMGSY,Road Construction,District Audit Unit,1551370.2,20582.22,62677.48,7,Fund Diversion,Pending Recovery,248,1217,635493.44,396878.21,19,Recovery Initiated
Kerala,Thrissur,GP_Thrissur_42,17-01-2024,2022-23,PMAY-G,School Building,SAU Team A,400401.53,51101.46,43890.65,8,,ATR Pending,368,3784,521978.6,443751.82,3,Recovery Initiated
Rajasthan,Udaipur,GP_Udaipur_27,03-10-2023,2024-25,MGNREGA,Pond Desilting,SAU Team B,711194.59,6706.54,22983.98,1,Fund Diversion,Under Review,224,1228,388466.94,340705.84,7,Suspended Official
